"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1902453621440086183","Wed Mar 19 20:14:23 +0000 2025","955","FIFA should tell us if this Fede Valverde goal is not going to win the Puskas so we can start the r¡ot early https://t.co/jgtWqSViku","1902453621440086183","https://pbs.twimg.com/media/GfkFRldWIAApoNs.jpg","","en","Turn Noti On 🔔🤍","1","9","56","https://x.com/KarseeFJ/status/1902453621440086183","1753020685285236736","KarseeFJ"
"1902488133456859538","Wed Mar 19 22:31:32 +0000 2025","1264","Remember in FIFA when you could run away from the ref trying to give you a yellow card? Good times! https://t.co/7hMjVGuk6O","1902488133456859538","https://pbs.twimg.com/ext_tw_video_thumb/1902488100145610752/pu/img/d3J5NCNcUI22R__A.jpg","","en","United Kingdom","18","34","160","https://x.com/16bitnostalgia/status/1902488133456859538","2312736107","16bitnostalgia"
"1902329211139854736","Wed Mar 19 12:00:02 +0000 2025","1107","Argentina remain the best country in world football according to FIFA ‍ https://t.co/ZDHDPQxIer","1902329211139854736","https://pbs.twimg.com/media/GmZHp5YXEAAudPo.jpg","","en","Download the app 👉","8","39","66","https://x.com/OneFootball/status/1902329211139854736","799369969725227008","OneFootball"
"1902023779250995457","Tue Mar 18 15:46:21 +0000 2025","37","Throwback to when FIFA released this video https://t.co/Odzq9xXHbU","1902023779250995457","https://pbs.twimg.com/ext_tw_video_thumb/1902022818981888000/pu/img/b-fyMauAxqZBOMRM.jpg","","en","Camp nou","0","14","5","https://x.com/RisKr_999/status/1902023779250995457","1469349822918316038","RisKr_999"
"1901966821281997271","Tue Mar 18 12:00:01 +0000 2025","1633"," Vincent Aboubakar. 🇨🇲 Can the striker help Cameroon qualify for another #FIFAWorldCup?","1901966821281997271","","","en","","8","21","123","https://x.com/FIFAWorldCup/status/1901966821281997271","138372303","FIFAWorldCup"
"1902682707504873615","Thu Mar 20 11:24:42 +0000 2025","59"," FIFA WORLD CUP QUALIFIERS | AFC's Round 3 FT: Australia 🇦🇺 5⃣ - 1⃣ 🇮🇩 Indonesia #AFC #AsianQualifiers https://t.co/U3kCBnXzbl","1902682707504873615","https://pbs.twimg.com/media/Gmev1jVaAAAQJr5.jpg","","en","","14","44","11","https://x.com/theaseanball/status/1902682707504873615","1238643804699164672","theaseanball"
"1902671916642488499","Thu Mar 20 10:41:49 +0000 2025","510","Man city Chairman Khaldoon at the White House with Trump and fifa president yeah we ve beaten those charges. https://t.co/1eOHgUYZ53","1902671916642488499","https://pbs.twimg.com/media/GmemBTfW8AAK9Ds.jpg","","en","Dm for business ","4","7","27","https://x.com/Priceless_MCI/status/1902671916642488499","1056421273075621893","Priceless_MCI"
"1900532363915895041","Fri Mar 14 13:00:00 +0000 2025","13403","🇿🇦 2010 was a vibe! #FIFAWorldCup https://t.co/AEmpOqguVc","1900532363915895041","https://pbs.twimg.com/ext_tw_video_thumb/1900516496226267136/pu/img/OflijO3pmw33AYwP.jpg","","en","","261","200","2227","https://x.com/FIFAWorldCup/status/1900532363915895041","138372303","FIFAWorldCup"
"1902383356261888017","Wed Mar 19 15:35:11 +0000 2025","134","La FIFA prohibió que el Estadio Azteca se llame Banorte durante el Mundial 2026 por reglas contra marcas. También los estadios Akron y BBVA se llamarán Guadalajara y Monterrey temporalmente. https://t.co/xu8gV8IGTs","1902383356261888017","https://pbs.twimg.com/media/Gmafk7qa8AAMTfX.jpg","","es","México ","0","6","18","https://x.com/Tropicxs_media/status/1902383356261888017","1042211616945856517","Tropicxs_media"
"1902327761915556246","Wed Mar 19 11:54:16 +0000 2025","84","What stops this Portugal team from winning the 2026 FIFA world cup? https://t.co/v7TuttxWoi","1902327761915556246","https://pbs.twimg.com/media/GmZtAQXXUAA2E28.jpg","","en","Follow me for a cookie ","0","97","1","https://x.com/UTDAlex8/status/1902327761915556246","1687083754991562752","UTDAlex8"
